operator_id,name,contact_info
OP101,Aryan Maharaj,+913218196001
OP102,Viraj Tiwari,0838637940
OP103,Pahal Oak,02351161559
OP104,Caleb Sharaf,1618495931
OP105,Vedant Mann,+913164752553
OP106,Ekbal Garg,3276483503
OP107,Diya Rattan,01395376724
OP108,Yatin Yohannan,09696532871
OP109,Imaran Dua,2691669784
OP110,Ishwar Yadav,05146270482
OP111,Chanchal Tripathi,3252880957
OP112,Isaac Patil,03039117182
OP113,Vaishnavi Gandhi,08963834657
OP114,Jai Kota,+911509839301
OP115,Veer Bir,+915183473829
OP116,Xavier Solanki,03116566701
OP117,Neha Nori,+913338726247
OP118,Faqid Savant,1080132677
OP119,Nandini Bhargava,+916064746872
OP120,Chaman Kalla,+919805009788
OP121,Dakshesh Trivedi,+912191361939
OP122,Finn Saini,9985435346
OP123,Charita Shankar,01079911838
OP124,Kevin Palla,+913542784980
OP125,Hemang Desai,01182449353
OP126,Yashasvi Suresh,00164005242
OP127,Prisha Andra,+911280598262
OP128,Darika Patla,+915331586923
OP129,Peter Sachar,+912563421607
OP130,Ryan Sharma,04330365414
OP131,Yashodhara Ratta,8501429401
OP132,Hemani Murthy,09816934060
OP133,Januja Sankar,+915951484656
OP134,Joshua Handa,06299468044
OP135,Qushi Nagy,07738721489
OP136,Girik Keer,4332003791
OP137,Oeshi Hayer,6763201632
OP138,Chandresh Krish,+917278895798
OP139,Sanaya Dutt,7743487347
OP140,Bhavika Keer,05581223623
OP141,Oeshi Reddy,08760366909
OP142,Vansha Ahuja,04668893734
OP143,Vedika Balakrishnan,05627298069
OP144,Fiyaz Sangha,+917204653755
OP145,Arunima Sama,01708053100
